product_id,product_name,category,brand,unit_price,product_key
1,Product_1,ELECTRONICS,BrandD,497.28,1
2,Product_2,CLOTHING,BrandD,96.2,2
3,Product_3,CLOTHING,BrandA,18.86,3
4,Product_4,FURNITURE,BrandB,252.01,4
5,Product_5,SPORTS,BrandA,97.62,5
6,Product_6,ELECTRONICS,BrandD,189.57,6
7,Product_7,ELECTRONICS,BrandB,374.64,7
8,Product_8,FOOD,BrandD,363.26,8
9,Product_9,CLOTHING,BrandA,160.95,9
10,Product_10,SPORTS,BrandA,275.84,10
11,Product_11,FURNITURE,BrandD,259.32,11
12,Product_12,CLOTHING,BrandC,321.8,12
13,Product_13,FURNITURE,BrandC,132.73,13
14,Product_14,FOOD,BrandA,299.04,14
15,Product_15,FOOD,BrandA,489.66,15
16,Product_16,ELECTRONICS,BrandC,248.5,16
17,Product_17,SPORTS,BrandC,453.99,17
18,Product_18,FURNITURE,BrandD,222.85,18
19,Product_19,CLOTHING,BrandD,181.54,19
20,Product_20,FOOD,BrandC,326.1,20
21,Product_21,ELECTRONICS,BrandD,337.77,21
22,Product_22,ELECTRONICS,BrandD,433.44,22
23,Product_23,FURNITURE,BrandB,122.79,23
24,Product_24,FOOD,BrandD,254.6,24
25,Product_25,SPORTS,BrandA,290.28,25
26,Product_26,FOOD,BrandD,386.59,26
27,Product_27,FURNITURE,BrandD,31.37,27
28,Product_28,FURNITURE,BrandC,497.33,28
29,Product_29,FOOD,BrandA,240.27,29
30,Product_30,FURNITURE,BrandD,146.98,30
31,Product_31,FOOD,BrandD,442.91,31
32,Product_32,CLOTHING,BrandB,376.38,32
33,Product_33,FOOD,BrandD,477.01,33
34,Product_34,FOOD,BrandD,172.07,34
35,Product_35,FURNITURE,BrandB,280.85,35
36,Product_36,FURNITURE,BrandC,290.42,36
37,Product_37,ELECTRONICS,BrandD,490.36,37
38,Product_38,ELECTRONICS,BrandB,46.92,38
39,Product_39,CLOTHING,BrandA,159.79,39
40,Product_40,ELECTRONICS,BrandC,103.55,40
41,Product_41,FOOD,BrandA,141.55,41
42,Product_42,FURNITURE,BrandA,247.79,42
43,Product_43,ELECTRONICS,BrandB,192.62,43
44,Product_44,ELECTRONICS,BrandD,203.4,44
45,Product_45,CLOTHING,BrandB,423.66,45
46,Product_46,CLOTHING,BrandB,465.71,46
47,Product_47,FOOD,BrandB,44.5,47
48,Product_48,FURNITURE,BrandB,112.37,48
49,Product_49,CLOTHING,BrandC,338.86,49
50,Product_50,ELECTRONICS,BrandD,185.74,50
