sale_id,customer_key,product_key,store_key,date_key,quantity,discount_pct,gross_amount,discount_amount,net_amount
1,20,9,10,500,11,20.0,1770.4499999999998,354.09,1416.36
717,40,5,4,500,19,0.0,1854.7800000000002,0.0,1854.7800000000002
969,14,4,3,500,1,0.0,252.01,0.0,252.01
24,86,9,10,257,15,0.0,2414.25,0.0,2414.25
991,11,7,9,257,9,20.0,3371.7599999999998,674.352,2697.408
18,58,9,10,258,5,20.0,804.75,160.95000000000002,643.8
801,46,34,2,258,1,0.0,172.07,0.0,172.07
279,92,34,1,258,8,5.0,1376.56,68.828,1307.732
266,54,11,5,258,17,0.0,4408.44,0.0,4408.44
317,54,9,10,219,7,10.0,1126.6499999999999,112.66499999999999,1013.9849999999999
937,55,48,3,219,6,0.0,674.22,0.0,674.22
567,25,24,5,219,11,0.0,2800.6,0.0,2800.6
307,19,9,10,438,17,15.0,2736.1499999999996,410.42249999999996,2325.7274999999995
141,29,37,4,438,3,0.0,1471.08,0.0,1471.08
460,5,26,7,438,4,0.0,1546.36,0.0,1546.36
103,10,9,10,45,19,15.0,3058.0499999999997,458.7074999999999,2599.3424999999997
231,93,10,9,45,7,0.0,1930.8799999999999,0.0,1930.8799999999999
378,27,43,10,20,6,20.0,1155.72,231.144,924.576
505,22,12,7,20,3,20.0,965.4000000000001,193.08000000000004,772.32
28,70,4,10,313,4,0.0,1008.04,0.0,1008.04
273,67,20,10,313,5,15.0,1630.5,244.575,1385.925
677,35,4,10,90,14,0.0,3528.14,0.0,3528.14
916,78,8,4,90,4,10.0,1453.04,145.304,1307.7359999999999
66,96,21,3,90,12,20.0,4053.24,810.648,3242.5919999999996
667,84,33,6,90,3,0.0,1431.03,0.0,1431.03
468,84,13,10,486,12,15.0,1592.7599999999998,238.91399999999996,1353.8459999999998
726,63,2,8,486,5,20.0,481.0,96.2,384.8
703,30,33,10,419,3,10.0,1431.03,143.103,1287.927
110,19,40,6,419,17,0.0,1760.35,0.0,1760.35
381,33,23,10,326,19,0.0,2333.01,0.0,2333.01
981,19,30,5,326,3,10.0,440.93999999999994,44.093999999999994,396.84599999999995
78,76,11,10,210,3,0.0,777.96,0.0,777.96
37,68,18,9,210,1,10.0,222.85,22.285,200.565
458,51,11,10,549,2,10.0,518.64,51.864000000000004,466.77599999999995
516,90,8,8,549,18,15.0,6538.68,980.802,5557.878000000001
223,42,46,2,549,17,0.0,7917.07,0.0,7917.07
695,22,42,6,549,1,5.0,247.79,12.3895,235.4005
76,93,11,10,360,18,10.0,4667.76,466.77600000000007,4200.984
906,29,33,5,360,9,15.0,4293.09,643.9635,3649.1265000000003
794,74,14,5,360,14,5.0,4186.56,209.32800000000003,3977.2320000000004
626,57,11,10,521,3,10.0,777.96,77.796,700.164
985,82,13,6,521,14,10.0,1858.2199999999998,185.822,1672.3979999999997
960,88,11,10,136,14,10.0,3630.48,363.048,3267.432
166,10,15,10,192,17,10.0,8324.220000000001,832.4220000000001,7491.798000000001
693,40,6,4,192,3,5.0,568.71,28.435500000000005,540.2745
601,75,15,10,331,8,15.0,3917.28,587.592,3329.688
261,36,43,7,331,15,5.0,2889.3,144.465,2744.835
499,21,15,10,185,8,20.0,3917.28,783.4560000000001,3133.824
566,44,22,5,185,13,20.0,5634.72,1126.9440000000002,4507.776
251,38,46,7,185,18,20.0,8382.779999999999,1676.5559999999998,6706.223999999999
41,47,41,10,315,9,10.0,1273.95,127.39500000000001,1146.555
401,17,27,4,315,10,15.0,313.7,47.055,266.645
127,35,49,8,315,13,20.0,4405.18,881.0360000000001,3524.1440000000002
281,61,41,10,9,9,15.0,1273.95,191.0925,1082.8575
346,17,50,5,9,18,20.0,3343.32,668.6640000000001,2674.656
685,78,41,10,534,16,10.0,2264.8,226.48000000000002,2038.3200000000002
466,74,17,6,534,6,15.0,2723.94,408.591,2315.349
469,88,41,10,451,11,20.0,1557.0500000000002,311.4100000000001,1245.64
928,55,2,10,451,1,5.0,96.2,4.8100000000000005,91.39
876,49,4,9,451,17,5.0,4284.17,214.20850000000002,4069.9615
869,24,48,10,304,6,5.0,674.22,33.711000000000006,640.509
595,22,2,10,304,17,20.0,1635.4,327.08000000000004,1308.3200000000002
445,82,29,10,523,4,10.0,961.08,96.108,864.972
464,56,29,4,523,3,15.0,720.8100000000001,108.12150000000001,612.6885000000001
650,37,29,10,40,18,10.0,4324.860000000001,432.4860000000001,3892.3740000000007
350,77,29,10,114,12,5.0,2883.2400000000002,144.162,2739.0780000000004
856,75,14,4,114,1,15.0,299.04,44.856,254.18400000000003
920,94,2,8,114,17,15.0,1635.4,245.31,1390.0900000000001
487,56,29,10,405,12,0.0,2883.2400000000002,0.0,2883.2400000000002
427,94,20,5,405,11,0.0,3587.1000000000004,0.0,3587.1000000000004
625,62,7,10,447,5,5.0,1873.1999999999998,93.66,1779.5399999999997
668,65,7,2,447,12,0.0,4495.68,0.0,4495.68
712,4,44,10,332,8,5.0,1627.2,81.36000000000001,1545.8400000000001
589,59,30,4,332,18,20.0,2645.64,529.128,2116.5119999999997
463,10,34,9,332,3,20.0,516.21,103.24200000000002,412.968
118,80,44,10,416,6,5.0,1220.4,61.02000000000001,1159.38
636,70,14,10,303,7,20.0,2093.28,418.65600000000006,1674.6240000000003
465,17,4,4,303,15,5.0,3780.1499999999996,189.0075,3591.1424999999995
642,20,13,9,303,7,10.0,929.1099999999999,92.911,836.1989999999998
216,100,13,2,303,6,0.0,796.3799999999999,0.0,796.3799999999999
743,72,31,3,303,2,10.0,885.82,88.58200000000001,797.238
7,87,24,7,303,12,15.0,3055.2,458.28,2596.92
183,13,14,10,48,3,0.0,897.1200000000001,0.0,897.1200000000001
234,76,39,8,48,16,5.0,2556.64,127.832,2428.808
630,8,6,10,339,10,0.0,1895.6999999999998,0.0,1895.6999999999998
704,35,35,10,339,2,0.0,561.7,0.0,561.7
39,96,42,3,339,19,15.0,4708.01,706.2015,4001.8085
776,8,6,10,238,17,20.0,3222.69,644.538,2578.152
36,5,6,10,424,17,5.0,3222.69,161.1345,3061.5555
727,15,39,8,424,13,20.0,2077.27,415.454,1661.816
602,62,34,6,424,13,5.0,2236.91,111.8455,2125.0645
438,51,1,6,424,18,20.0,8951.039999999999,1790.2079999999999,7160.831999999999
611,40,6,10,24,18,15.0,3412.2599999999998,511.83899999999994,2900.421
745,64,10,8,24,17,20.0,4689.28,937.856,3751.424
564,86,8,10,560,8,15.0,2906.08,435.912,2470.168
125,12,37,7,560,3,20.0,1471.08,294.216,1176.864
511,90,8,10,362,12,10.0,4359.12,435.91200000000003,3923.2079999999996
548,59,8,10,432,1,0.0,363.26,0.0,363.26
472,6,29,9,432,1,20.0,240.27,48.054,192.216
230,87,47,10,168,4,15.0,178.0,26.7,151.3
305,36,47,10,8,2,20.0,89.0,17.8,71.2
766,38,47,10,439,15,10.0,667.5,66.75,600.75
455,88,47,10,324,13,15.0,578.5,86.77499999999999,491.725
894,71,7,4,324,3,5.0,1123.92,56.196000000000005,1067.7240000000002
974,7,47,1,324,10,15.0,445.0,66.75,378.25
178,62,35,10,42,2,0.0,561.7,0.0,561.7
827,23,5,3,42,18,5.0,1757.16,87.858,1669.3020000000001
467,17,35,10,135,17,0.0,4774.450000000001,0.0,4774.450000000001
295,44,35,10,299,8,15.0,2246.8,337.02000000000004,1909.7800000000002
353,13,34,3,299,17,0.0,2925.19,0.0,2925.19
319,16,25,10,478,8,20.0,2322.24,464.448,1857.792
22,58,25,10,163,15,15.0,4354.2,653.13,3701.0699999999997
121,32,38,9,163,17,20.0,797.64,159.52800000000002,638.112
883,49,6,8,163,16,5.0,3033.12,151.656,2881.464
638,68,18,8,163,3,10.0,668.55,66.855,601.6949999999999
984,60,49,10,234,1,20.0,338.86,67.772,271.088
929,3,6,4,234,10,10.0,1895.6999999999998,189.57,1706.1299999999999
902,83,21,7,234,9,10.0,3039.93,303.993,2735.937
670,73,49,10,371,19,15.0,6438.34,965.751,5472.589
729,25,17,4,371,5,15.0,2269.95,340.49249999999995,1929.4575
482,75,27,5,371,5,15.0,156.85,23.5275,133.3225
793,11,49,10,553,8,0.0,2710.88,0.0,2710.88
905,30,25,2,553,6,15.0,1741.6799999999998,261.25199999999995,1480.4279999999999
603,62,42,10,431,10,15.0,2477.9,371.685,2106.215
796,6,42,10,249,14,20.0,3469.06,693.812,2775.248
781,76,2,6,249,13,5.0,1250.6000000000001,62.53000000000001,1188.0700000000002
979,85,42,10,124,13,10.0,3221.27,322.127,2899.143
659,5,32,10,156,17,5.0,6398.46,319.923,6078.537
392,5,14,2,156,11,0.0,3289.44,0.0,3289.44
483,16,3,10,352,6,15.0,113.16,16.974,96.18599999999999
484,8,17,4,352,7,0.0,3177.9300000000003,0.0,3177.9300000000003
341,41,13,3,352,8,5.0,1061.84,53.092,1008.7479999999999
964,16,13,1,352,2,5.0,265.46,13.273,252.18699999999998
829,46,22,10,236,19,0.0,8235.36,0.0,8235.36
575,18,22,10,307,11,10.0,4767.84,476.78400000000005,4291.0560000000005
562,57,38,10,350,3,5.0,140.76,7.038,133.72199999999998
692,1,36,10,495,15,5.0,4356.3,217.81500000000003,4138.485000000001
51,63,22,5,495,14,20.0,6068.16,1213.632,4854.528
963,46,21,10,512,16,10.0,5404.32,540.432,4863.888
203,71,25,4,512,17,5.0,4934.759999999999,246.73799999999997,4688.021999999999
655,33,18,1,512,9,20.0,2005.6499999999999,401.13,1604.52
725,23,20,10,217,9,15.0,2934.9,440.235,2494.665
8,15,17,6,217,19,5.0,8625.81,431.2905,8194.5195
805,62,39,10,145,1,0.0,159.79,0.0,159.79
197,100,39,10,199,13,10.0,2077.27,207.727,1869.543
366,33,48,8,199,19,15.0,2135.03,320.2545,1814.7755000000002
534,52,17,1,199,11,15.0,4993.89,749.0835000000001,4244.806500000001
20,62,2,10,215,14,20.0,1346.8,269.36,1077.44
732,66,2,8,215,14,5.0,1346.8,67.34,1279.46
397,37,2,10,174,19,0.0,1827.8,0.0,1827.8
